t,mode,q1,q2,q3,q4,q5,q6,ee_x,ee_y,ee_z,des_x,des_y,des_z
1.0105,joint,0.013221,0.000000,0.000000,0.000000,0.000000,0.000000,1.999825,0.026440,0.000000,1.999825,0.026440,0.000000
1.0205,joint,0.013591,0.000000,0.000000,0.000000,0.000000,0.000000,1.999815,0.027182,0.000000,1.999815,0.027182,0.000000
1.0316,joint,0.014006,0.000000,0.000000,0.000000,0.000000,0.000000,1.999804,0.028011,0.000000,1.999804,0.028011,0.000000
1.0411,joint,0.014369,0.000000,0.000000,0.000000,0.000000,0.000000,1.999794,0.028736,0.000000,1.999794,0.028736,0.000000
1.0506,joint,0.014738,0.000000,0.000000,0.000000,0.000000,0.000000,1.999783,0.029475,0.000000,1.999783,0.029475,0.000000
1.0605,joint,0.015128,0.000000,0.000000,0.000000,0.000000,0.000000,1.999771,0.030255,0.000000,1.999771,0.030255,0.000000
1.0710,joint,0.015548,0.000000,0.000000,0.000000,0.000000,0.000000,1.999758,0.031094,0.000000,1.999758,0.031094,0.000000
1.0805,joint,0.015931,0.000000,0.000000,0.000000,0.000000,0.000000,1.999746,0.031861,0.000000,1.999746,0.031861,0.000000
1.0915,joint,0.016388,0.000000,0.000000,0.000000,0.000000,0.000000,1.999731,0.032775,0.000000,1.999731,0.032775,0.000000
1.1007,joint,0.016771,0.000000,0.000000,0.000000,0.000000,0.000000,1.999719,0.033541,0.000000,1.999719,0.033541,0.000000
1.1107,joint,0.017197,0.000000,0.000000,0.000000,0.000000,0.000000,1.999704,0.034392,0.000000,1.999704,0.034392,0.000000
1.1207,joint,0.017629,0.000000,0.000000,0.000000,0.000000,0.000000,1.999689,0.035257,0.000000,1.999689,0.035257,0.000000
1.1314,joint,0.018101,0.000000,0.000000,0.000000,0.000000,0.000000,1.999672,0.036200,0.000000,1.999672,0.036200,0.000000
1.1420,joint,0.018572,0.000000,0.000000,0.000000,0.000000,0.000000,1.999655,0.037142,0.000000,1.999655,0.037142,0.000000
1.1519,joint,0.019019,0.000000,0.000000,0.000000,0.000000,0.000000,1.999638,0.038035,0.000000,1.999638,0.038035,0.000000
1.1605,joint,0.019417,0.000000,0.000000,0.000000,0.000000,0.000000,1.999623,0.038832,0.000000,1.999623,0.038832,0.000000
1.1713,joint,0.019916,0.000000,0.000000,0.000000,0.000000,0.000000,1.999603,0.039829,0.000000,1.999603,0.039829,0.000000
1.1805,joint,0.020353,0.000000,0.000000,0.000000,0.000000,0.000000,1.999586,0.040703,0.000000,1.999586,0.040703,0.000000
